EXPERIMENT,DEVICES,CLOUDS,CLOUDLETS,PRODUCERS,RATE,MAX_QUEUE_SIZE_DEVICE,AVG_QUEUE_SIZE_DEVICE,MAX_QUEUE_SIZE_CLOUD,AVG_QUEUE_SIZE_CLOUD,TOTAL_JOBS,JOBS_OFFLOADED,AVG_JOBS_DEVICE,MAX_JOBS_DEVICES,AVG_JOBS_CLOUD,MAX_JOBS_CLOUD,DEVICES_WITH_1+JOB,EXECUTION_TIME_AVG,EXECUTION_TIME_MAX,EXECUTION_TIME_MIN,EXECUTION_TIME_DEVICE_AVG,EXECUTION_TIME_DEVICE_MAX,EXECUTION_TIME_DEVICE_MIN,EXECUTION_TIME_CLOUD_AVG,EXECUTION_TIME_CLOUD_MAX,EXECUTION_TIME_CLOUD_MIN,AVG_EXPERIMENT_TIME,MAX_EXPERIMENT_TIME,NUM_TIMEOUTS,LOCALHOST_EXECUTIONS,LOCALHOST_EXECUTIONS_MAX,LOCALHOST_EXECUTIONS_AVG,LOCALHOST_EXECUTIONS_MIN,DEVICE_RECEIVED_EXECUTIONS,DEVICE_RECEIVED_EXECUTIONS_MAX,DEVICE_RECEIVED_EXECUTIONS_AVG,DEVICE_RECEIVED_EXECUTIONS_MIN,LOCALHOST_EXECUTION_TIME_AVG,LOCALHOST_EXECUTION_TIME_MIN,LOCALHOST_EXECUTION_TIME_MAX,DEVICE_RECEIVED_EXECUTION_TIME_AVG,DEVICE_RECEIVED_EXECUTION_TIME_MIN,DEVICE_RECEIVED_EXECUTION_TIME_MAX
Single_MultiDeviceSchedulerLocalCloudletRemoteRandom_01,2,0,0,1,10,3,1.33,1,2.00,34.00,23.00,34.00,34.00,13.00,13.00,2.67,9422,29602,3894,11310,29602,3968,1804,3633,1000,278849,364491,0,11.00,11.00,5.50,0.00,21.00,17.00,10.50,4.00,10263.70,5755.00,16469.67,14804.03,8568.00,29465.00
SingleDeviceSchedulerLocal,1,0,0,1,10,13,12.00,0,0.00,34.00,0.00,34.00,34.00,0.00,0.00,1.00,76207,162691,8887,76207,162691,8887,0,0,0,427587,427587,0,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,76201.35,8887.67,162690.00,76151.53,8831.00,162648.67
Single_EstimatedTimeSchedulerCloudlet_01,2,0,1,1,10,0,0.00,2,1.33,34.00,34.00,34.00,34.00,34.00,34.00,3.00,2102,4916,1425,2180,4916,1532,2023,4780,1425,227869,406261,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SingleDeviceSchedulerCloudlet,1,0,1,1,10,0,0.00,2,1.67,34.00,34.00,34.00,34.00,33.33,33.33,2.00,2874,6426,1739,2963,6426,1854,2785,6285,1739,313660,358972,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Single_MultiDeviceSchedulerLocalRemoteRandom_03,6,0,0,1,10,2,0.94,0,0.00,34.00,28.00,34.00,34.00,0.00,0.00,6.00,10439,19826,8583,10439,19826,8583,0,0,0,216109,278521,0,6.00,6.00,1.00,0.00,34.00,11.00,5.67,0.00,10135.10,8583.33,14943.00,10076.88,8539.00,19707.00
Single_MultiDeviceSchedulerLocalRemoteRandom_02,4,0,0,1,10,2,1.00,0,0.00,34.00,34.00,34.00,34.00,0.00,0.00,4.00,11628,23078,8779,11628,23078,8779,0,0,0,260025,276321,0,0.00,0.00,0.00,0.00,34.00,14.00,8.50,0.00,0.00,0.00,0.00,11250.64,8631.33,22892.67
Single_MultiDeviceSchedulerLocalCloudletRemoteRandom_02,4,0,1,1,10,2,0.92,1,1.00,34.00,25.67,34.00,34.00,7.00,7.00,5.00,5091,19812,1456,8707,19812,1540,1475,1498,1456,251948,444366,0,8.33,8.33,2.08,0.00,27.00,10.67,6.75,0.00,11389.90,8575.67,18481.33,10269.74,8512.00,19699.00
Single_MultiDeviceSchedulerLocalCloudletRemoteRandom_03,6,0,0,1,10,2,0.94,1,3.00,34.00,28.67,34.00,34.00,3.33,3.33,6.67,6997,18551,3892,9470,18551,3961,1010,1117,971,260308,452286,0,5.33,5.33,0.89,0.00,30.67,8.67,5.11,1.33,9814.94,8691.67,14170.67,10041.44,8652.67,18411.33
Single_EstimatedTimeSchedulerCloudlet_02,4,0,1,1,10,0,0.00,2,1.33,34.00,34.00,34.00,34.00,34.00,34.00,5.00,2080,3946,1560,2151,3946,1688,2009,3817,1560,153682,472505,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Single_EstimatedTimeSchedulerCloudlet_03,6,0,1,1,10,0,0.00,1,1.00,34.00,34.00,34.00,34.00,34.00,34.00,7.00,1706,2910,1440,1777,2910,1519,1634,2716,1440,126957,568996,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Single_EstimatedTimeSchedulerCloudlet_04,8,0,1,1,10,0,0.00,1,1.00,34.00,34.00,34.00,34.00,34.00,34.00,9.00,1701,2878,1416,1771,2878,1510,1630,2766,1416,110334,655928,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Single_MultiDeviceSchedulerLocalRemoteRandom_01,2,0,0,1,10,15,6.67,0,0.00,34.00,22.67,34.00,34.00,0.00,0.00,2.00,87391,189248,9151,87391,189248,9151,0,0,0,387642,455170,0,11.33,11.33,5.67,0.00,34.00,34.00,17.00,0.00,22893.24,2860.00,49903.33,87240.05,8968.33,189112.00
